word,rank,count,grade_hint,academic,pos,notes
similarity,71,88,6,1,n,tier2_nawl_academic+nawl_rank_71+grade_estimate_6
optimal,72,87,6,1,adj,tier2_nawl_academic+nawl_rank_72+grade_estimate_6
explicit,73,87,6,1,n,tier2_nawl_academic+nawl_rank_73+grade_estimate_6
mutation,74,87,6,1,n,tier2_nawl_academic+nawl_rank_74+grade_estimate_6
colonial,75,86,6,1,adj,tier2_nawl_academic+nawl_rank_75+grade_estimate_6
phonological,76,86,6,1,adj,tier2_nawl_academic+nawl_rank_76+grade_estimate_6
spectrum,76,86,6,1,n,tier2_nawl_academic+nawl_rank_76+grade_estimate_6
nucleus,78,86,6,1,n,tier2_nawl_academic+nawl_rank_78+bridge_from_beginner_grade_5+grade_estimate_6
onset,79,85,6,1,n,tier2_nawl_academic+nawl_rank_79+grade_estimate_6
integration,80,84,6,1,n,tier2_nawl_academic+nawl_rank_80+grade_estimate_6
dominant,81,84,6,1,adj,tier2_nawl_academic+nawl_rank_81+grade_estimate_6
pathway,82,83,6,1,n,tier2_nawl_academic+nawl_rank_82+grade_estimate_6
coordinate,83,83,6,1,v,tier2_nawl_academic+nawl_rank_83+grade_estimate_6
calculation,84,83,6,1,n,tier2_nawl_academic+nawl_rank_84+grade_estimate_6
precede,85,82,6,1,v,tier2_nawl_academic+nawl_rank_85+grade_estimate_6
subset,86,82,6,1,n,tier2_nawl_academic+nawl_rank_86+grade_estimate_6
syntactic,87,82,6,1,adj,tier2_nawl_academic+nawl_rank_87+grade_estimate_6
orientation,88,82,6,1,n,tier2_nawl_academic+nawl_rank_88+grade_estimate_6
proposition,89,82,6,1,n,tier2_nawl_academic+nawl_rank_89+grade_estimate_6
inequality,90,81,6,1,n,tier2_nawl_academic+nawl_rank_90+grade_estimate_6
identical,91,81,6,1,adj,tier2_nawl_academic+nawl_rank_91+grade_estimate_6
prevalence,92,81,6,1,n,tier2_nawl_academic+nawl_rank_92+grade_estimate_6
differential,93,80,6,1,adj,tier2_nawl_academic+nawl_rank_93+grade_estimate_6
generalize,94,80,6,1,n,tier2_nawl_academic+nawl_rank_94+bridge_from_beginner_grade_4+grade_estimate_6
beam,95,80,6,1,n,tier2_nawl_academic+nawl_rank_95+grade_estimate_6
pulse,96,80,6,1,n,tier2_nawl_academic+nawl_rank_96+grade_estimate_6
norm,97,80,6,1,n,tier2_nawl_academic+nawl_rank_97+grade_estimate_6
trait,98,79,6,1,n,tier2_nawl_academic+nawl_rank_98+grade_estimate_6
prediction,99,79,6,1,n,tier2_nawl_academic+nawl_rank_99+bridge_from_beginner_grade_2+grade_estimate_6
correspondence,100,78,6,1,n,tier2_nawl_academic+nawl_rank_100+grade_estimate_6
essentially,101,78,6,1,adv,tier2_nawl_academic+nawl_rank_101+grade_estimate_6
syllable,102,76,6,1,n,tier2_nawl_academic+nawl_rank_102+bridge_from_beginner_grade_3+grade_estimate_6
chromosome,103,75,6,1,n,tier2_nawl_academic+nawl_rank_103+grade_estimate_6
infect,104,75,6,1,v,tier2_nawl_academic+nawl_rank_104+grade_estimate_6
magnetic,105,75,6,1,adj,tier2_nawl_academic+nawl_rank_105+bridge_from_beginner_grade_4+grade_estimate_6
configuration,106,75,6,1,n,tier2_nawl_academic+nawl_rank_106+grade_estimate_6
numerical,107,75,6,1,adj,tier2_nawl_academic+nawl_rank_107+bridge_from_beginner_grade_4+grade_estimate_6
namely,108,75,6,1,adv,tier2_nawl_academic+nawl_rank_108+grade_estimate_6
intermediate,109,74,6,1,v,tier2_nawl_academic+nawl_rank_109+grade_estimate_6
transmission,110,74,6,1,n,tier2_nawl_academic+nawl_rank_110+grade_estimate_6
dose,111,74,6,1,n,tier2_nawl_academic+nawl_rank_111+grade_estimate_6
occurrence,112,74,6,1,n,tier2_nawl_academic+nawl_rank_112+grade_estimate_6
maternal,113,74,6,1,adj,tier2_nawl_academic+nawl_rank_113+grade_estimate_6
axis,114,74,6,1,n,tier2_nawl_academic+nawl_rank_114+bridge_from_beginner_grade_4+grade_estimate_6
rational,115,73,6,1,adj,tier2_nawl_academic+nawl_rank_115+grade_estimate_6
locus,116,73,6,1,n,tier2_nawl_academic+nawl_rank_116+grade_estimate_6
elite,117,73,6,1,n,tier2_nawl_academic+nawl_rank_117+grade_estimate_6
approximation,118,72,6,1,n,tier2_nawl_academic+nawl_rank_118+grade_estimate_6
thesis,119,72,6,1,n,tier2_nawl_academic+nawl_rank_119+grade_estimate_6
sin,120,72,6,1,n,tier2_nawl_academic+nawl_rank_120+grade_estimate_6
classification,121,71,6,1,n,tier2_nawl_academic+nawl_rank_121+grade_estimate_6
threshold,122,71,6,1,n,tier2_nawl_academic+nawl_rank_122+grade_estimate_6
syndrome,123,71,6,1,n,tier2_nawl_academic+nawl_rank_123+grade_estimate_6
comparative,124,71,6,1,adj,tier2_nawl_academic+nawl_rank_124+grade_estimate_6
activate,125,70,6,1,v,tier2_nawl_academic+nawl_rank_125+grade_estimate_6
adolescent,126,70,6,1,adj,tier2_nawl_academic+nawl_rank_126+grade_estimate_6
vocabulary,127,70,6,1,adj,tier2_nawl_academic+nawl_rank_127+bridge_from_beginner_grade_5+grade_estimate_6
encode,128,70,6,1,v,tier2_nawl_academic+nawl_rank_128+grade_estimate_6
utterance,128,70,6,1,n,tier2_nawl_academic+nawl_rank_128+grade_estimate_6
facilitate,130,70,6,1,v,tier2_nawl_academic+nawl_rank_130+grade_estimate_6
incidence,131,70,6,1,n,tier2_nawl_academic+nawl_rank_131+grade_estimate_6
induction,132,69,6,1,n,tier2_nawl_academic+nawl_rank_132+grade_estimate_6
trajectory,133,69,6,1,adj,tier2_nawl_academic+nawl_rank_133+grade_estimate_6
manuscript,134,69,6,1,n,tier2_nawl_academic+nawl_rank_134+grade_estimate_6
commonly,135,68,6,1,adv,tier2_nawl_academic+nawl_rank_135+grade_estimate_6
grammatical,136,68,6,1,adj,tier2_nawl_academic+nawl_rank_136+grade_estimate_6
accuracy,137,68,6,1,n,tier2_nawl_academic+nawl_rank_137+grade_estimate_6
adaptation,138,68,6,1,n,tier2_nawl_academic+nawl_rank_138+grade_estimate_6
amplitude,138,68,6,1,n,tier2_nawl_academic+nawl_rank_138+grade_estimate_6
cortex,140,68,6,1,n,tier2_nawl_academic+nawl_rank_140+grade_estimate_6
minimal,141,67,6,1,adj,tier2_nawl_academic+nawl_rank_141+grade_estimate_6
systematic,142,67,6,1,adj,tier2_nawl_academic+nawl_rank_142+grade_estimate_6
horizontal,143,67,6,1,adj,tier2_nawl_academic+nawl_rank_143+grade_estimate_6
projection,144,67,6,1,n,tier2_nawl_academic+nawl_rank_144+grade_estimate_6
synthesis,144,67,6,1,n,tier2_nawl_academic+nawl_rank_144+grade_estimate_6
diameter,146,67,6,1,n,tier2_nawl_academic+nawl_rank_146+grade_estimate_6
cone,147,67,6,1,n,tier2_nawl_academic+nawl_rank_147+grade_estimate_6
dependence,148,67,6,1,n,tier2_nawl_academic+nawl_rank_148+grade_estimate_6
organism,149,66,6,1,n,tier2_nawl_academic+nawl_rank_149+grade_estimate_6
emergence,150,66,6,1,n,tier2_nawl_academic+nawl_rank_150+grade_estimate_6
overlap,151,66,6,1,n,tier2_nawl_academic+nawl_rank_151+grade_estimate_6
substitution,152,65,6,1,n,tier2_nawl_academic+nawl_rank_152+grade_estimate_6
explicitly,153,65,6,1,adv,tier2_nawl_academic+nawl_rank_153+grade_estimate_6
evident,154,65,6,1,adj,tier2_nawl_academic+nawl_rank_154+grade_estimate_6
