word,rank,count,grade_hint,academic,pos,notes
next,235,,3,0,n,tier2_fry_filtered+fry_rank_235+grade3_week1_item7
example,238,,3,0,n,tier2_fry_filtered+fry_rank_238+grade3_week8_item4
begin,239,,3,0,v,tier2_fry_filtered+fry_rank_239+grade3_week8_item5
paper,244,,3,0,n,tier2_fry_filtered+fry_rank_244+grade3_week9_item5
often,248,,3,0,adv,tier2_fry_filtered+fry_rank_248+grade3_week10_item4
important,250,,3,0,adj,tier2_fry_filtered+fry_rank_250+grade3_week11_item1
until,251,,3,0,conj,tier2_fry_filtered+fry_rank_251+grade3_week25_item8
children,252,,3,0,n,tier2_fry_filtered+fry_rank_252+grade3_week11_item3
night,257,,3,0,n,tier2_fry_filtered+fry_rank_257+grade3_week12_item3
sea,260,,3,0,n,tier2_fry_filtered+fry_rank_260+grade3_week13_item1
began,261,,3,0,v,tier2_fry_filtered+fry_rank_261+grade3_week13_item2
river,264,,3,0,n,tier2_fry_filtered+fry_rank_264+grade3_week13_item5
state,267,,3,0,n,tier2_fry_filtered+fry_rank_267+grade3_week35_item16
book,269,,3,0,n,tier2_fry_filtered+fry_rank_269+grade3_week14_item5
hear,270,,3,0,v,tier2_fry_filtered+fry_rank_270+grade3_week19_item7
without,272,,3,0,prep,tier2_fry_filtered+fry_rank_272+grade3_week15_item3
miss,275,,3,0,n,tier2_fry_filtered+fry_rank_275+grade3_week16_item1
idea,276,,3,0,n,tier2_fry_filtered+fry_rank_276+grade3_week16_item2
watch,280,,3,0,v,tier2_fry_filtered+fry_rank_280+grade3_week8_item8
real,283,,3,0,adj,tier2_fry_filtered+fry_rank_283+grade3_week17_item4
almost,284,,3,0,adv,tier2_fry_filtered+fry_rank_284+grade3_week17_item5
sometimes,288,,3,0,n,tier2_fry_filtered+fry_rank_288+grade3_week18_item4
young,291,,3,0,adj,tier2_fry_filtered+fry_rank_291+grade3_week19_item2
talk,292,,3,0,v,tier2_fry_filtered+fry_rank_292+grade3_week19_item3
list,294,,3,0,n,tier2_fry_filtered+fry_rank_294+grade3_week19_item5
being,296,,3,0,v,tier2_fry_filtered+fry_rank_296+grade3_week20_item2
leave,297,,3,0,v,tier2_fry_filtered+fry_rank_297+grade3_week20_item3
family,298,,3,0,n,tier2_fry_filtered+fry_rank_298+grade3_week26_item9
it's,299,,3,0,pron,tier2_fry_filtered+fry_rank_299+grade3_week20_item5
music,302,,3,0,adj,tier2_fry_filtered+fry_rank_302+grade3_week26_item3
stand,304,,3,0,v,tier2_fry_filtered+fry_rank_304+grade3_week1_item11
questions,306,,3,0,n,tier2_fry_filtered+fry_rank_306+grade_estimated_from_fry_rank
area,308,,3,0,n,tier2_fry_filtered+fry_rank_308+grade3_week2_item13
mark,309,,3,0,n,tier2_fry_filtered+fry_rank_309+grade_estimated_from_fry_rank
horse,311,,3,0,n,tier2_fry_filtered+fry_rank_311+grade3_week18_item9
birds,312,,3,0,n,tier2_fry_filtered+fry_rank_312+grade3_week15_item5
didn't,322,,3,0,v,tier2_fry_filtered+fry_rank_322+grade3_week33_item3
friends,323,,3,0,n,tier2_fry_filtered+fry_rank_323+grade_estimated_from_fry_rank
easy,324,,3,0,adj,tier2_fry_filtered+fry_rank_324+grade3_week3_item11
however,339,,3,0,adv,tier2_fry_filtered+fry_rank_339+grade3_week13_item7
hours,341,,3,0,n,tier2_fry_filtered+fry_rank_341+grade_estimated_from_fry_rank
products,343,,3,0,n,tier2_fry_filtered+fry_rank_343+grade_estimated_from_fry_rank
measure,346,,3,0,v,tier2_fry_filtered+fry_rank_346+grade_estimated_from_fry_rank
waves,349,,3,0,n,tier2_fry_filtered+fry_rank_349+grade_estimated_from_fry_rank
reached,350,,3,0,v,tier2_fry_filtered+fry_rank_350+grade3_week3_item7
space,354,,3,0,n,tier2_fry_filtered+fry_rank_354+grade3_week10_item6
morning,363,,3,0,v,tier2_fry_filtered+fry_rank_363+grade3_week18_item10
passed,364,,3,0,v,tier2_fry_filtered+fry_rank_364+grade_estimated_from_fry_rank
hundred,367,,3,0,v,tier2_fry_filtered+fry_rank_367+grade3_week5_item12
numeral,370,,3,0,adj,tier2_fry_filtered+fry_rank_370+grade_estimated_from_fry_rank
table,371,,3,0,adj,tier2_fry_filtered+fry_rank_371+grade3_week10_item5
north,372,,3,0,n,tier2_fry_filtered+fry_rank_372+grade3_week14_item3
pulled,377,,3,0,v,tier2_fry_filtered+fry_rank_377+grade3_week19_item4
voice,379,,3,0,n,tier2_fry_filtered+fry_rank_379+grade3_week12_item7
cried,382,,3,0,v,tier2_fry_filtered+fry_rank_382+grade3_week6_item1
notice,384,,3,0,n,tier2_fry_filtered+fry_rank_384+grade_estimated_from_fry_rank
south,385,,3,0,n,tier2_fry_filtered+fry_rank_385+grade3_week15_item1
war,387,,3,0,n,tier2_fry_filtered+fry_rank_387+grade3_week18_item8
ground,388,,3,0,n,tier2_fry_filtered+fry_rank_388+grade3_week13_item11
i'll,392,,3,0,v,tier2_fry_filtered+fry_rank_392+grade3_week34_item2
travel,397,,3,0,n,tier2_fry_filtered+fry_rank_397+grade3_week3_item15
correct,411,,3,0,n,tier2_fry_filtered+fry_rank_411+grade3_week22_item2
person,414,,3,0,n,tier2_fry_filtered+fry_rank_414+grade3_week21_item8
minutes,417,,3,0,n,tier2_fry_filtered+fry_rank_417+grade_estimated_from_fry_rank
strong,418,,3,0,adj,tier2_fry_filtered+fry_rank_418+grade3_week5_item4
verb,419,,3,1,n,tier2_fry_filtered+fry_rank_419+grade3_week19_item1
