word,rank,count,grade_hint,academic,pos,notes
battered,3083,1122,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bead,3084,1002,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
beard,3085,1414,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
beast,3086,1509,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
behalf,3087,4037,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
belly,3088,1098,9,0,adv,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
beneficial,3089,1460,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
betray,3090,1866,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
biography,3092,1435,9,1,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+academic_suffix
blade,3095,1808,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
blaze,3096,1640,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
blink,3097,1182,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
blur,3098,1036,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
boarder,3099,1173,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bold,3101,1909,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
booking,3104,3095,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bounds,3105,1262,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
boxed,3106,2182,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
breach,3108,4095,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bride,3111,1469,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
briefed,3112,1135,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
broker,3113,1401,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bronze,3114,1802,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
brute,3116,1762,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bulb,3118,1119,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bull,3120,2455,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bully,3122,984,9,0,adv,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bureaucracy,3124,1520,9,1,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+academic_suffix
bureaucrat,3125,1619,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
bush,3126,4723,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
buzz,3128,1174,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cab,3129,1644,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cafe,3131,895,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
calorie,3133,1251,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
canal,3135,2609,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cargo,3140,1020,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cartoon,3142,867,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
casualty,3143,1737,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cater,3144,3217,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cautious,3147,1851,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cave,3148,1920,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
celebrity,3149,676,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cemetery,3150,936,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
census,3152,1210,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
certificate,3153,4268,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
certify,3154,573,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
champagne,3155,1870,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
chancellor,3156,3890,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
chaos,3157,1595,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
chef,3159,869,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
chin,3161,1604,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
choke,3163,1091,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cholesterol,3164,782,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
chronicle,3166,947,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
civic,3169,1019,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
clash,3170,2453,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
clutch,3179,1707,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
coffin,3180,1643,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
collar,3183,1985,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
commentator,3186,1381,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
compel,3192,1674,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
compile,3194,2345,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
compliance,3196,1408,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
comprehend,3198,1246,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
compress,3199,1383,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
con,3200,1362,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
conceal,3201,2079,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
concede,3202,1775,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
concession,3203,2015,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
confidential,3204,1836,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
configure,3205,1624,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
conform,3206,2792,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
congratulate,3207,1640,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
congregate,3208,1704,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
conscience,3209,1441,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
consistency,3211,970,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
console,3212,1199,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
consolidate,3213,1817,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
conspiracy,3214,1129,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
constituency,3215,2690,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
contaminate,3216,1504,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
contemplate,3217,2192,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
contempt,3218,1689,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
contingent,3219,1430,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
convenience,3221,1490,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
convenient,3222,2939,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
conversion,3223,2416,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
copyright,3225,1070,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
corps,3228,1216,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
costume,3229,1139,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
couch,3230,742,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
counterpart,3231,1689,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
coup,3232,1906,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
courtesy,3233,1116,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
credible,3234,1485,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cube,3239,1368,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cult,3240,1092,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cultivate,3241,2006,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
curse,3242,1334,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
custody,3243,1754,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
cynical,3244,1309,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dam,3245,921,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
deaf,3248,3179,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
debut,3249,1660,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
decisive,3251,1670,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
deduct,3252,1460,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
deem,3253,1635,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
deer,3254,946,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
defer,3256,1423,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
defy,3258,1488,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
delicate,3259,2073,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
demography,3260,976,9,1,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+academic_exact
depart,3261,1502,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
deploy,3264,1712,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
deprive,3265,2648,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
despair,3266,1820,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
despatch,3267,1612,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
destiny,3269,1589,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
detach,3270,2056,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
detain,3271,1207,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
deter,3272,1887,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
deteriorate,3273,1832,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
devil,3274,2120,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
devise,3275,2291,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
diabetes,3276,1594,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dial,3280,985,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
digest,3286,1893,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dignity,3287,1277,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dim,3289,1363,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
diminish,3290,2064,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dip,3292,1866,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
disclose,3295,2055,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
disclosure,3296,1257,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
discourage,3297,1313,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
disguise,3298,1476,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
disperse,3299,1549,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
displace,3300,1365,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
distort,3302,2309,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
distract,3303,1541,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
distress,3304,2466,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dividend,3305,2510,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
divine,3306,1606,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
documentary,3308,1018,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
